Time Stamp (ns since boot),xGyro (rad/s),yGyro (rad/s),zGyro (rad/s), xAccel (g), yAccel (g), zAccel (g), xMag (uT), yMag (uT), zMag (uT), Temp (C), Roll (deg), Pitch (deg), Yaw (deg), Yaw Accuracy (deg)
1002471240084,4.980111E-5,-0.0016812535,0.001081776,0.4213795,0.059855044,9.844957,-32.768993,2.1995976,-72.857635,N/A,-2.3004057,0.1524102,88.48741,180.0
1002476243343,0.0032455944,0.002579804,-0.0010487528,0.40222588,0.045489833,9.888053,-32.768993,2.1995976,-72.857635,N/A,-2.302195,0.15241069,88.48741,180.0
1002481243998,4.980111E-5,-0.002746518,1.6511598E-5,0.4141969,0.035913024,9.904813,-32.713947,1.5612633,-73.14533,N/A,-2.302195,0.15241069,88.48741,180.0
1002486246326,0.0011150655,-0.002746518,1.6511598E-5,0.38307226,0.035913024,9.871294,-32.713947,1.5612633,-73.14533,N/A,-2.3008456,0.15172826,88.4874,180.0
1002491247789,0.00218033,4.4927528E-4,-0.0021140173,0.37588966,0.016759412,9.892841,-32.60298,0.84340775,-73.248436,N/A,-2.3008459,0.15172826,88.4874,180.0
1002496250480,0.0011150655,4.4927528E-4,1.6511598E-5,0.38307226,0.045489833,9.880871,-32.60298,0.84340775,-73.248436,N/A,-2.3007505,0.15197594,88.4874,180.0
1002501250869,0.00218033,0.0036450685,-0.0021140173,0.37588966,0.0047884034,9.868899,-32.502117,0.30391183,-73.12419,N/A,-2.3007507,0.15197594,88.4874,180.0
1002506254188,0.00218033,0.0036450685,-0.0021140173,0.40940848,-0.0023942017,9.813833,-32.502117,0.30391183,-73.12419,N/A,-2.3003635,0.14905961,88.48729,180.0
1002511254751,0.0011150655,-6.1598915E-4,-0.0010487528,0.40701428,-0.0023942017,9.871294,-32.604202,-0.12525742,-73.01989,N/A,-2.3003635,0.1490595,88.48729,180.0
1002516258152,0.0011150655,-6.1598915E-4,-0.0010487528,0.40940848,0.007182605,9.809045,-32.604202,-0.12525742,-73.01989,N/A,-2.3008237,0.15035075,88.48732,180.0
1002521258715,0.0011150655,0.002579804,-0.0021140173,0.39983168,0.023942016,9.885659,-33.057667,-0.52070194,-73.15361,N/A,-2.3008237,0.15035033,88.48732,180.0
1002526260838,-0.0010154633,-0.0016812535,0.001081776,0.37349546,0.021547815,9.888053,-33.057667,-0.52070194,-73.15361,N/A,-2.3015535,0.1513542,88.48738,180.0
1002531260733,0.0011150655,0.0036450685,1.6511598E-5,0.39264908,0.04309563,9.825804,-33.72279,-1.0221838,-73.61208,N/A,-2.3015535,0.15135397,88.48738,180.0
1002536262907,0.0011150655,0.0036450685,1.6511598E-5,0.36152446,0.02873042,9.840169,-33.72279,-1.0221838,-73.61208,N/A,-2.300298,0.15135267,88.48738,180.0
1002541265344,-0.0010154633,-0.0016812535,0.001081776,0.3854665,0.04309563,9.856929,-34.34992,-1.7868092,-74.313034,N/A,-2.3002982,0.15135245,88.487366,180.0
1002546269516,4.980111E-5,-0.0016812535,0.0021470406,0.40222588,0.04309563,9.821015,-34.34992,-1.7868092,-74.313034,N/A,-2.2990735,0.15125972,88.487366,180.0
1002551272285,0.0011150655,0.0015145397,-0.0010487528,0.36631286,0.031124622,9.85214,-34.738243,-2.622246,-74.850006,N/A,-2.2990735,0.1512595,88.48735,180.0
1002556275389,0.0011150655,-0.0016812535,0.0021470406,0.36152446,0.016759412,9.864111,-34.738243,-2.622246,-74.850006,N/A,-2.2999797,0.14925663,88.48729,180.0
1002561275648,0.0011150655,0.0015145397,-0.0010487528,0.40701428,0.05746084,9.864111,-34.89111,-3.615624,-75.142975,N/A,-2.29998,0.14925653,88.48729,180.0
